# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,main_wing,0,XEBVTHZOWR,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.850000000000000089e+00, 0.000000000000000000e+00, 1.076999999999999957e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,11,33
# x,y,z,u,w
4.299999999999999822e+00, 0.000000000000000000e+00, 1.076999999999999957e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
4.272191614805851856e+00, 0.000000000000000000e+00, 1.079428358735935234e+00, 1.000000000000000000e+00, 4.173311976788848798e-02
4.232215371076573085e+00, 0.000000000000000000e+00, 1.081110637451926149e+00, 1.000000000000000000e+00, 9.595583006934514658e-02
4.175909997569200449e+00, 0.000000000000000000e+00, 1.079571620962072043e+00, 1.000000000000000000e+00, 1.722603643809274832e-01
4.099113825156063484e+00, 0.000000000000000000e+00, 1.073934901804895814e+00, 1.000000000000000000e+00, 2.765358755368439447e-01
3.998592957903694955e+00, 0.000000000000000000e+00, 1.063102694978162344e+00, 1.000000000000000000e+00, 4.134663504172014781e-01
3.873595949568019670e+00, 0.000000000000000000e+00, 1.046966078896459429e+00, 1.000000000000000000e+00, 5.841612375912467181e-01
3.727558067544364473e+00, 0.000000000000000000e+00, 1.027689958135525661e+00, 1.000000000000000000e+00, 7.836633902842906618e-01
3.568843835706744905e+00, 0.000000000000000000e+00, 1.009705122301086888e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
3.409489388589378223e+00, 0.000000000000000000e+00, 9.990911841228125034e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
3.262195664298947140e+00, 0.000000000000000000e+00, 9.998894840406287177e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
3.136360869077304159e+00, 0.000000000000000000e+00, 1.006873489304177971e+00, 1.000000000000000000e+00, 1.586533649582798411e+00
3.035770099848448478e+00, 0.000000000000000000e+00, 1.017039875949246497e+00, 1.000000000000000000e+00, 1.723464124463156111e+00
2.959687892429125000e+00, 0.000000000000000000e+00, 1.028788079854817017e+00, 1.000000000000000000e+00, 1.827739635619072489e+00
2.904769493111621692e+00, 0.000000000000000000e+00, 1.041410578431713807e+00, 1.000000000000000000e+00, 1.904044169930654951e+00
2.867571742302359894e+00, 0.000000000000000000e+00, 1.056000052502354070e+00, 1.000000000000000000e+00, 1.958266880232111484e+00
2.850000000000000089e+00, 0.000000000000000000e+00, 1.076999999999999957e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.860276743884786921e+00, 0.000000000000000000e+00, 1.102686451152778746e+00, 1.000000000000000000e+00, 2.041733119767888294e+00
2.893926198708349773e+00, 0.000000000000000000e+00, 1.125544720762629902e+00, 1.000000000000000000e+00, 2.095955830069344827e+00
2.946767753945342960e+00, 0.000000000000000000e+00, 1.148035746157494597e+00, 1.000000000000000000e+00, 2.172260364380927289e+00
3.021898461155434479e+00, 0.000000000000000000e+00, 1.170601709353475961e+00, 1.000000000000000000e+00, 2.276535875536843889e+00
