# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,main_wing,0,YTGEDVUDVF,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.850000000000000089e+00, 0.000000000000000000e+00, 1.076999999999999957e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,23,45
# x,y,z,u,w
4.299999999999999822e+00, 0.000000000000000000e+00, 1.076999999999999957e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
4.280823520969252449e+00, 0.000000000000000000e+00, 1.078785123792941336e+00, 1.000000000000000000e+00, 3.002179054472272138e-02
4.255764345050930153e+00, 0.000000000000000000e+00, 1.080377719603149878e+00, 1.000000000000000000e+00, 6.401761836569835884e-02
4.223323836650410001e+00, 0.000000000000000000e+00, 1.081189050453419398e+00, 1.000000000000000000e+00, 1.080122138603403226e-01
4.181818166332550213e+00, 0.000000000000000000e+00, 1.079902187827452176e+00, 1.000000000000000000e+00, 1.642535289321422898e-01
4.129649357573643265e+00, 0.000000000000000000e+00, 1.076540883115817859e+00, 1.000000000000000000e+00, 2.350359318375891959e-01
4.065416185584713737e+00, 0.000000000000000000e+00, 1.070673163269537875e+00, 1.000000000000000000e+00, 3.223876325185868752e-01
3.988223479563751894e+00, 0.000000000000000000e+00, 1.061843839581691817e+00, 1.000000000000000000e+00, 4.276134429119436420e-01
3.898052963423591422e+00, 0.000000000000000000e+00, 1.050239003285169614e+00, 1.000000000000000000e+00, 5.507427428281937987e-01
3.796124469264627876e+00, 0.000000000000000000e+00, 1.036601533738245484e+00, 1.000000000000000000e+00, 6.900195926781572675e-01
3.685068163920760753e+00, 0.000000000000000000e+00, 1.022432203792183136e+00, 1.000000000000000000e+00, 8.416480480224312055e-01
3.568843835706744905e+00, 0.000000000000000000e+00, 1.009705122301086888e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
3.452266558372895311e+00, 0.000000000000000000e+00, 1.000749187792657979e+00, 1.000000000000000000e+00, 1.158351951977568461e+00
3.340345491403505118e+00, 0.000000000000000000e+00, 9.984536874800369333e-01, 1.000000000000000000e+00, 1.309980407321843066e+00
3.237536295053232926e+00, 0.000000000000000000e+00, 1.000810653328991107e+00, 1.000000000000000000e+00, 1.449257257171806312e+00
3.146775064248756415e+00, 0.000000000000000000e+00, 1.006068718141625240e+00, 1.000000000000000000e+00, 1.572386557088055969e+00
3.069401153800204618e+00, 0.000000000000000000e+00, 1.013114242709738821e+00, 1.000000000000000000e+00, 1.677612367481413180e+00
3.005406357190013367e+00, 0.000000000000000000e+00, 1.021172487051479560e+00, 1.000000000000000000e+00, 1.764964068162410804e+00
2.953878765783351401e+00, 0.000000000000000000e+00, 1.029895549337434657e+00, 1.000000000000000000e+00, 1.835746471067857932e+00
2.913369977425039892e+00, 0.000000000000000000e+00, 1.039068059968655922e+00, 1.000000000000000000e+00, 1.891987786139659677e+00
2.882434925341701426e+00, 0.000000000000000000e+00, 1.048975041402707253e+00, 1.000000000000000000e+00, 1.935982381634301586e+00
2.860472513285165164e+00, 0.000000000000000000e+00, 1.060927132128892669e+00, 1.000000000000000000e+00, 1.969978209455277351e+00
2.850000000000000089e+00, 0.000000000000000000e+00, 1.076999999999999957e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
2.854535853310045113e+00, 0.000000000000000000e+00, 1.096007141159445641e+00, 1.000000000000000000e+00, 2.030021790544722649e+00
2.873294162739641333e+00, 0.000000000000000000e+00, 1.113222706656526118e+00, 1.000000000000000000e+00, 2.064017618365698414e+00
2.902065746615297925e+00, 0.000000000000000000e+00, 1.129589957250932919e+00, 1.000000000000000000e+00, 2.108012213860340545e+00
2.941095445584494428e+00, 0.000000000000000000e+00, 1.145989957680839222e+00, 1.000000000000000000e+00, 2.164253528932142068e+00
2.991751888684316629e+00, 0.000000000000000000e+00, 1.162441770983457356e+00, 1.000000000000000000e+00, 2.235035931837589196e+00
3.055486706916005879e+00, 0.000000000000000000e+00, 1.178553992680914320e+00, 1.000000000000000000e+00, 2.322387632518586820e+00
3.133256727607848013e+00, 0.000000000000000000e+00, 1.193436700980876397e+00, 1.000000000000000000e+00, 2.427613442911943586e+00
3.225067006209604514e+00, 0.000000000000000000e+00, 1.205901639146405913e+00, 1.000000000000000000e+00, 2.550742742828193688e+00
3.329550171098345057e+00, 0.000000000000000000e+00, 1.214141166437489261e+00, 1.000000000000000000e+00, 2.690019592678157601e+00
3.443621468900245119e+00, 0.000000000000000000e+00, 1.216000398434325502e+00, 1.000000000000000000e+00, 2.841648048022431539e+00
3.562563500847621079e+00, 0.000000000000000000e+00, 1.208778594317702959e+00, 1.000000000000000000e+00, 3.000000000000000000e+00
3.680948699530971702e+00, 0.000000000000000000e+00, 1.195225647507621503e+00, 1.000000000000000000e+00, 3.158351951977568461e+00
3.793710061779035581e+00, 0.000000000000000000e+00, 1.177782498562647939e+00, 1.000000000000000000e+00, 3.309980407321843288e+00
3.896818773782920964e+00, 0.000000000000000000e+00, 1.158984326690745803e+00, 1.000000000000000000e+00, 3.449257257171806312e+00
3.987672929895714535e+00, 0.000000000000000000e+00, 1.140792015457702480e+00, 1.000000000000000000e+00, 3.572386557088055969e+00
4.065195954552169866e+00, 0.000000000000000000e+00, 1.124654654109017660e+00, 1.000000000000000000e+00, 3.677612367481413180e+00
4.129536552252650594e+00, 0.000000000000000000e+00, 1.111191103598007102e+00, 1.000000000000000000e+00, 3.764964068162410804e+00
4.181708146351627242e+00, 0.000000000000000000e+00, 1.100452911109996101e+00, 1.000000000000000000e+00, 3.835746471067857932e+00
4.223197038685587934e+00, 0.000000000000000000e+00, 1.092091839853641222e+00, 1.000000000000000000e+00, 3.891987786139659455e+00
4.255671094063461446e+00, 0.000000000000000000e+00, 1.085649609814765437e+00, 1.000000000000000000e+00, 3.935982381634301586e+00
4.280776421851052227e+00, 0.000000000000000000e+00, 1.080730536444048262e+00, 1.000000000000000000e+00, 3.969978209455277351e+00
4.299999999999999822e+00, 0.000000000000000000e+00, 1.076999999999999957e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
4.299999999999999822e+00, 2.746363636363634009e-01, 1.081793795558922300e+00, 1.090909090909090828e+00, 0.000000000000000000e+00
4.280823520969252449e+00, 2.746363636363634009e-01, 1.083578919351863679e+00, 1.090909090909090828e+00, 3.002179054472272138e-02
4.255764345050930153e+00, 2.746363636363634009e-01, 1.085171515162072220e+00, 1.090909090909090828e+00, 6.401761836569835884e-02
4.223323836650410001e+00, 2.746363636363634009e-01, 1.085982846012341740e+00, 1.090909090909090828e+00, 1.080122138603403226e-01
4.181818166332550213e+00, 2.746363636363634009e-01, 1.084695983386374518e+00, 1.090909090909090828e+00, 1.642535289321422898e-01
4.129649357573643265e+00, 2.746363636363634009e-01, 1.081334678674740202e+00, 1.090909090909090828e+00, 2.350359318375891959e-01
4.065416185584713737e+00, 2.746363636363634009e-01, 1.075466958828460218e+00, 1.090909090909090828e+00, 3.223876325185868752e-01
3.988223479563751894e+00, 2.746363636363634009e-01, 1.066637635140614160e+00, 1.090909090909090828e+00, 4.276134429119436420e-01
3.898052963423591422e+00, 2.746363636363634009e-01, 1.055032798844091957e+00, 1.090909090909090828e+00, 5.507427428281937987e-01
3.796124469264627876e+00, 2.746363636363634009e-01, 1.041395329297167827e+00, 1.090909090909090828e+00, 6.900195926781572675e-01
3.685068163920760753e+00, 2.746363636363634009e-01, 1.027225999351105479e+00, 1.090909090909090828e+00, 8.416480480224312055e-01
3.568843835706744905e+00, 2.746363636363634009e-01, 1.014498917860009231e+00, 1.090909090909090828e+00, 1.000000000000000000e+00
3.452266558372895311e+00, 2.746363636363635119e-01, 1.005542983351580322e+00, 1.090909090909090828e+00, 1.158351951977568461e+00
3.340345491403505118e+00, 2.746363636363634009e-01, 1.003247483038959276e+00, 1.090909090909090828e+00, 1.309980407321843066e+00
3.237536295053232926e+00, 2.746363636363634564e-01, 1.005604448887913449e+00, 1.090909090909090828e+00, 1.449257257171806312e+00
3.146775064248756415e+00, 2.746363636363634009e-01, 1.010862513700547582e+00, 1.090909090909090828e+00, 1.572386557088055969e+00
3.069401153800204618e+00, 2.746363636363634009e-01, 1.017908038268660942e+00, 1.090909090909090828e+00, 1.677612367481413180e+00
3.005406357190013367e+00, 2.746363636363634564e-01, 1.025966282610401903e+00, 1.090909090909090828e+00, 1.764964068162410804e+00
2.953878765783351845e+00, 2.746363636363634009e-01, 1.034689344896356999e+00, 1.090909090909090828e+00, 1.835746471067857932e+00
2.913369977425039892e+00, 2.746363636363634009e-01, 1.043861855527578264e+00, 1.090909090909090828e+00, 1.891987786139659677e+00
2.882434925341701426e+00, 2.746363636363634009e-01, 1.053768836961629596e+00, 1.090909090909090828e+00, 1.935982381634301586e+00
2.860472513285165164e+00, 2.746363636363634009e-01, 1.065720927687815012e+00, 1.090909090909090828e+00, 1.969978209455277351e+00
2.850000000000000089e+00, 2.746363636363634009e-01, 1.081793795558922300e+00, 1.090909090909090828e+00, 2.000000000000000000e+00
2.854535853310045113e+00, 2.746363636363634009e-01, 1.100800936718367984e+00, 1.090909090909090828e+00, 2.030021790544722649e+00
2.873294162739641333e+00, 2.746363636363634009e-01, 1.118016502215448238e+00, 1.090909090909090828e+00, 2.064017618365698414e+00
2.902065746615297925e+00, 2.746363636363634009e-01, 1.134383752809855261e+00, 1.090909090909090828e+00, 2.108012213860340545e+00
2.941095445584494428e+00, 2.746363636363634009e-01, 1.150783753239761564e+00, 1.090909090909090828e+00, 2.164253528932142068e+00
