vel_sound,rho,alpha,mach,rpm,cp,ct,flap
330.263,0.8756275,4.501,0.186765,3037.25,0.1025,3.2985,1.1265
332.741,1.2452575,0.019,0.104775,4641.25,0.0675,6.8035,28.1385
331.063,1.2206425,3.631,0.116715,3501.25,3.6915,0.8455,12.1665
332.705,1.0511725,7.101,0.084225,340.75,2.1735,5.3855,8.4975
337.061,0.8910625,12.441,0.178305,1116.75,3.0025,0.5015,9.6855
329.589,1.0047775,19.899,0.025935,1340.25,1.6245,7.0115,11.7855
334.279,1.0257475,19.515,0.283155,1454.75,7.4595,4.5585,27.6195
333.379,1.0293925,14.951,0.181635,2015.75,4.7985,3.4875,4.1415
328.675,1.0849675,11.545,0.108915,997.25,7.3675,1.0795,4.6455
326.779,0.9640975,6.397,0.285045,2149.75,8.6315,0.2155,7.6965
342.631,1.0792975,13.359,0.131925,745.25,7.0965,6.0345,20.0655
332.389,0.9253525,11.597,0.138285,1949.75,7.1325,5.6335,3.2595
335.833,1.0090075,17.739,0.145365,355.25,2.3675,2.7015,11.7675
338.355,1.2506575,9.205,0.034815,1595.25,0.9805,0.4115,2.8665
328.899,1.2564175,8.311,0.206295,3228.25,7.8475,1.3565,18.5355
330.575,0.9010525,11.881,0.290415,4870.25,9.4335,5.7615,29.3835
344.997,1.1494525,15.655,0.276615,1399.25,1.0585,3.4955,19.6185
332.107,1.1972425,9.053,0.098895,129.25,6.8385,2.2125,6.9495
338.303,1.2174025,13.029,0.127005,3232.25,5.4015,1.6585,28.3095
344.731,0.9757075,10.733,0.232005,2360.25,4.6975,9.7465,21.5115
343.087,1.2865675,18.611,0.164835,4609.75,1.6895,1.3395,29.2665
334.297,1.1440975,5.127,0.169095,2364.75,1.8375,8.6595,3.4605
326.813,1.0024825,12.339,0.247935,3458.75,2.9765,2.2725,5.0115
338.991,1.0644475,5.227,0.049095,4927.75,2.2025,2.4885,1.6695
339.949,1.1827975,15.545,0.167475,285.25,9.9465,6.9265,2.8485
325.073,1.1761375,13.593,0.131445,2598.25,0.6735,0.7525,8.7945
344.017,0.8731075,17.343,0.130215,4268.25,9.7955,5.5535,29.4045
333.669,1.1649775,7.059,0.256425,2163.25,5.2925,8.9025,17.8335
335.521,1.1297875,14.147,0.293355,182.75,7.5845,4.2825,25.2885
330.089,0.8504725,16.729,0.224175,4585.25,9.6015,1.0565,12.8235
328.315,1.1985925,9.293,0.261465,4449.75,9.5235,3.2525,17.2575
328.769,0.9867775,14.151,0.283395,1196.75,2.8695,0.7635,22.5945
333.795,0.9837175,13.485,0.062685,2591.75,0.9265,9.0735,2.2875
332.445,1.0766875,17.693,0.145035,1710.25,6.6225,7.6465,12.9345
327.337,0.9070375,13.951,0.299685,3112.75,4.4325,5.5825,12.7125
336.257,1.1350975,11.697,0.205545,3388.25,8.5165,1.7605,10.5165
338.849,0.9059575,16.089,0.220545,1281.75,7.9785,8.4625,25.7535
342.955,1.2570025,2.761,0.270765,1915.25,7.2395,5.5355,4.5705
330.179,1.0647175,10.235,0.030465,2491.75,0.9885,3.7365,0.7875
331.465,0.8528125,0.613,0.118695,1974.75,0.9295,6.5265,21.3645
339.569,1.0500025,13.139,0.042495,2138.75,7.2485,4.8435,17.1645
334.435,1.1144875,12.379,0.043515,3938.75,4.0375,0.4005,15.5625
336.985,1.2997975,13.565,0.206175,1971.25,6.5715,3.7685,0.6105
342.859,0.9006475,12.491,0.287805,915.75,5.2635,3.3895,15.3765
337.059,1.2133075,2.209,0.232065,2085.25,6.7885,1.3995,6.9705
341.615,0.8565925,4.835,0.177645,2788.25,6.6245,3.4775,27.5115
339.293,0.8617675,13.007,0.078855,4460.25,8.0875,6.5965,1.5405
337.323,1.2296875,14.347,0.121725,2196.75,0.9475,3.2635,16.8165
333.985,0.8686975,2.329,0.003285,2327.75,5.0875,9.5725,21.1155
337.789,0.9817375,5.555,0.054585,4948.75,0.5855,5.9685,16.0845
344.859,1.1756425,13.343,0.279585,1015.75,9.6395,9.6925,8.5095
328.451,1.1194375,1.157,0.230985,267.75,0.1875,1.3175,4.9635
329.945,1.1056225,1.699,0.212385,220.75,6.9125,3.9695,15.2475
327.015,0.8521375,14.431,0.109065,2532.75,6.3155,7.2175,13.8225
334.755,1.0432075,8.617,0.192675,3334.25,7.1025,9.7355,14.2785
339.173,0.9472675,10.113,0.299445,4549.75,3.5905,0.9265,14.8815
344.345,1.2301375,4.669,0.096675,1272.25,9.0815,5.7285,12.5535
338.033,1.1441875,16.131,0.120645,3946.25,0.0835,7.0585,10.3185
336.617,1.1665525,8.681,0.191925,3687.75,3.9295,7.5485,29.0205
343.255,0.8889475,19.709,0.272865,2610.75,8.8605,2.9035,21.3555
327.591,0.9147325,7.407,0.124125,1914.25,2.7865,7.0875,22.9635
338.657,0.9095125,0.849,0.189045,2593.75,5.6405,5.4365,29.5905
343.055,1.2804475,19.269,0.073515,1544.25,0.7165,2.3325,7.4745
327.147,0.8529475,12.451,0.049275,128.75,1.2325,0.5655,17.3175
335.559,0.9557275,11.219,0.033465,723.75,9.6415,0.6085,0.3315
343.763,1.1910325,1.387,0.290655,105.25,3.5915,1.8625,23.8605
339.191,1.1067475,2.261,0.131085,3748.75,5.8225,9.9015,20.4435
334.865,1.0702525,18.629,0.040425,1922.25,7.2755,9.0175,25.8165
341.035,1.1501275,19.439,0.133065,4527.75,8.0625,7.0975,4.4685
338.953,1.0274575,4.507,0.193515,1366.25,0.0715,7.6965,28.0425
334.337,0.9066325,15.525,0.265695,260.25,2.9555,1.5305,12.4125
329.175,1.1062975,0.697,0.045315,231.75,2.8945,5.9675,17.2035
338.317,0.9895225,11.161,0.055995,702.75,9.8935,5.0565,13.4775
329.049,1.0280875,19.331,0.232605,1650.75,0.8745,3.3435,16.7805
335.319,1.0099525,5.657,0.210975,3074.75,7.9545,2.8115,1.9725
333.435,0.9318775,7.115,0.065505,1382.75,1.8725,4.9295,26.0565
335.561,1.2590275,19.571,0.212865,600.25,3.2215,4.2215,8.2575
340.881,0.9710725,18.929,0.011715,4039.25,1.1375,0.8995,2.1435
342.073,0.8544325,5.419,0.101145,3465.75,5.3295,7.6525,23.2155
342.069,1.2573175,3.519,0.093855,3187.25,7.4205,7.4655,12.9135
344.353,0.9962275,6.819,0.148995,2998.25,3.9495,9.0095,23.7765
329.667,1.2889975,0.979,0.034725,738.25,1.3355,5.2045,6.8355
330.801,0.8860225,4.389,0.048105,3688.25,8.6795,2.6465,29.1675
325.475,1.2474625,14.103,0.135765,4210.25,6.1025,8.9695,11.8185
325.875,0.8570425,7.437,0.073005,1467.75,9.7945,7.3395,9.4815
332.051,0.9983425,1.863,0.140475,631.25,9.1715,0.4105,23.5425
326.035,1.2817075,1.349,0.211935,1301.25,6.2165,0.3305,6.0225
340.945,1.0666975,9.173,0.255885,2314.75,0.0635,6.0735,9.4005
338.255,1.2522775,17.991,0.071805,518.75,4.4095,9.2465,27.3825
340.655,0.8854375,5.967,0.245055,3730.25,9.0935,4.5565,16.9125
333.455,0.9605425,2.955,0.096345,1667.25,4.0105,8.9425,17.5395
332.543,1.2785125,16.869,0.082185,1190.75,3.9655,0.6355,15.1605
340.461,1.2749125,4.245,0.034005,3944.75,0.6865,9.2175,8.2935
341.929,1.2438625,3.295,0.274395,671.25,7.9655,2.4935,0.3225
330.777,1.2629875,10.429,0.101985,1776.75,7.2575,7.1995,8.8275
326.115,1.2755425,13.837,0.235695,3288.75,6.2015,3.7085,27.8805
325.029,0.9334975,15.401,0.047745,1495.25,3.6535,2.2205,14.0595
344.973,0.8708575,5.643,0.012465,2548.75,1.8185,7.2205,15.0885
325.097,1.0593175,5.609,0.048825,3783.75,4.1725,8.3645,13.2705
333.265,1.2505675,5.529,0.088665,1200.25,3.5445,3.4845,10.2765
334.995,1.0953175,6.697,0.221715,4077.75,0.1365,0.9445,2.1375
342.887,1.1843725,5.749,0.201195,1462.75,6.0865,3.1545,20.7495
334.751,1.0572025,18.023,0.265725,4418.25,2.6365,9.2165,4.7865
334.037,1.2444475,5.549,0.041025,1104.25,2.7085,6.4695,21.5775
338.737,0.8601025,1.371,0.235815,258.25,5.2185,0.5835,11.3865
331.513,0.8742775,14.413,0.154155,3896.25,6.2685,3.1985,16.5645
