vel_sound,rho,alpha,mach,rpm,cp,ct,flap
340.5315,1.2226337,12.34215,0.0372675,346.35,0.09662,0.3338875,12.56175
336.3305,0.87428875,10.58715,0.0198675,711.45,0.71694,0.3971375,11.09475
332.9325,1.0021113,11.72475,0.1806675,4146.45,0.06194,0.1425875,20.16525
338.2085,1.0726038,2.23425,0.0562275,369.15,0.46326,0.4335375,7.48275
334.4255,0.94300375,5.30865,0.0251775,5422.05,0.02406,0.4190125,1.51875
331.6125,1.1643587,11.39175,0.0637875,4388.55,0.10082,0.2297625,12.30225
335.1385,1.1106063,16.26615,0.0581625,2727.15,0.40558,0.4144625,22.98375
331.7615,0.92891875,3.93795,0.1824825,4959.75,0.27146,0.0675625,12.13875
342.6905,1.1675988,4.01355,0.0438975,1846.35,0.77578,0.3424875,27.91125
340.9085,0.87019375,0.09225,0.0886725,1507.95,0.54866,0.2510125,17.65125
341.8955,1.0861487,14.54715,0.0647175,5397.45,0.30854,0.3751625,25.74525
331.8605,1.2935087,2.47995,0.2660325,3667.95,0.78438,0.0503375,27.27825
336.3255,0.88353625,1.85805,0.1404675,1795.95,0.15658,0.4762375,2.89875
327.3895,1.1401488,16.57485,0.0424575,1347.45,0.20062,0.3389375,25.81575
338.7825,1.0161738,3.78315,0.2339175,282.15,0.02374,0.2066375,27.97125
327.7765,1.0526012,9.69615,0.1182675,3768.45,0.75742,0.3352125,5.28075
339.8375,1.0024263,3.71295,0.2565525,4901.85,0.57054,0.4057125,17.71425
343.6725,1.2453813,1.42155,0.2976375,5700.15,0.68098,0.4389125,29.41575
343.4725,1.2373262,17.07885,0.2588775,4870.95,0.29574,0.1718375,16.20975
328.6245,1.2202938,5.24655,0.2812275,1153.95,0.21546,0.1552625,13.81875
336.6875,1.1247813,12.35205,0.2610975,4531.05,0.5739,0.4096625,4.32375
328.4905,1.0926962,4.63995,0.2044125,3867.75,0.49978,0.2950625,16.54875
329.1865,0.86024875,13.15665,0.2795325,2617.95,0.43658,0.1650875,5.91675
341.2275,0.91235875,1.70145,0.1379025,1938.45,0.56118,0.3043125,10.66125
330.1895,1.1775213,4.63365,0.1324725,5223.45,0.79606,0.2846625,0.83775
336.8785,1.0956438,12.70395,0.2103525,2277.15,0.6529,0.3028375,25.77375
344.7665,1.0775088,10.79955,0.1424325,3812.55,0.59114,0.3359625,18.38175
343.3615,1.0504187,8.80695,0.2647575,3024.15,0.60682,0.0490125,18.77325
338.7925,0.87064375,17.61165,0.0132225,3761.25,0.1891,0.0594125,6.87075
342.4845,1.0306863,7.24725,0.1454775,847.65,0.27126,0.3309375,3.53775
329.1345,1.2308912,7.74945,0.2912625,2296.65,0.39902,0.3880375,26.43675
336.0875,1.0673613,8.71965,0.2243775,3448.65,0.79082,0.2940125,19.39875
344.3715,0.96055375,17.55045,0.0398175,4437.45,0.4861,0.0101625,20.66325
330.0325,1.2558662,16.64325,0.0020925,997.65,0.76778,0.4857875,28.89075
340.5795,1.2431763,7.27875,0.0824175,358.95,0.22898,0.1740875,9.75375
338.6045,0.99972625,14.86665,0.2035875,287.55,0.17646,0.4218625,13.15275
326.0085,1.1136888,13.59765,0.1794525,1557.15,0.32442,0.3041375,29.60775
343.0055,0.91604875,16.10145,0.0918525,706.05,0.45502,0.0173875,3.56175
332.2495,1.2402963,17.01135,0.2599125,3260.25,0.39646,0.1689125,28.72125
325.1755,0.87251125,2.40525,0.2454825,4338.15,0.37266,0.3671125,25.40775
329.8035,1.2865788,12.29445,0.2498325,1104.15,0.34466,0.1922625,11.80125
327.4025,1.1348612,9.91125,0.1556025,3148.35,0.1303,0.4344625,11.48475
342.5915,0.94131625,7.57935,0.1536675,1607.25,0.40774,0.4295875,13.70325
328.4385,0.85475875,10.92825,0.0634875,2590.05,0.65322,0.4413125,27.05175
337.4295,1.2045663,6.51195,0.0490125,4679.25,0.20302,0.1872125,8.76075
340.1055,1.0519262,1.84095,0.2168625,536.25,0.2697,0.2083625,2.93025
343.8465,1.1158488,9.17955,0.0776475,4715.55,0.10678,0.2137875,12.38325
325.3185,1.1387088,16.17885,0.0373875,3853.35,0.25974,0.2785375,5.48025
344.2115,0.90783625,7.87095,0.2093775,5447.85,0.7609,0.3846625,10.55175
329.5975,0.95501875,4.48695,0.1678425,5296.65,0.09262,0.3686125,22.48875
328.5355,0.95987875,17.53965,0.2283675,4264.95,0.77114,0.2487125,11.79225
329.2625,1.0286163,12.60765,0.0085275,3505.05,0.12482,0.4634625,5.42175
330.4715,0.91789375,15.58035,0.0004575,2505.15,0.20018,0.3286625,18.46875
330.1945,1.1424212,1.16775,0.2494275,833.55,0.0323,0.2196375,23.58375
344.1045,1.2830463,16.78005,0.2696475,2851.35,0.30746,0.4452125,11.73075
335.6425,1.2626613,1.74825,0.2358825,4871.55,0.52366,0.0041375,0.21975
336.0615,0.89406625,8.19135,0.0461775,2669.25,0.69638,0.1916625,1.66875
331.6445,0.86078875,13.99995,0.2341875,2791.65,0.72858,0.3825375,24.16275
327.7195,0.98462875,5.37165,0.1496325,5026.65,0.46586,0.3659875,13.71675
334.2265,0.90340375,10.40805,0.2856075,517.05,0.09022,0.1180125,25.76625
333.5495,0.97175875,15.24285,0.1974225,4797.15,0.36214,0.2852875,20.54475
329.6995,1.1149487,13.70385,0.1697175,4680.75,0.53018,0.4776375,26.26125
341.9125,1.1103137,15.44715,0.1222275,5934.15,0.33482,0.2214875,3.06825
343.0715,0.90965875,5.46435,0.1558875,2368.35,0.04034,0.1534625,22.13475
339.6195,1.1117763,13.88205,0.2568975,5308.05,0.07562,0.2311875,11.11575
336.1385,1.2930363,6.66135,0.2187975,4274.85,0.46766,0.1817375,27.96825
325.2755,1.2198887,10.11195,0.2919375,3979.65,0.60334,0.4310125,13.22775
325.5875,1.1739213,5.34825,0.1038675,1165.95,0.71126,0.0197125,27.85725
332.3125,1.0247237,12.00465,0.0299325,4350.75,0.05038,0.0489125,19.90725
338.0915,0.85898875,4.36365,0.2424975,276.15,0.3549,0.1826125,8.55825
334.3945,1.0369862,13.58145,0.1125375,2270.85,0.54594,0.0938875,15.71475
326.0845,1.1588238,6.73875,0.2242875,1590.45,0.51246,0.0949125,15.02325
334.4385,1.2496563,6.21675,0.2190975,4235.85,0.5147,0.0255125,18.96375
328.4615,1.1013588,14.22045,0.1013175,2889.15,0.18966,0.0079125,3.22875
333.0635,1.0484837,14.92335,0.1355175,4237.35,0.13462,0.4920625,16.34025
340.5935,1.2211488,14.21415,0.2735625,3488.25,0.3289,0.1866625,3.95025
343.6845,1.2820788,15.02595,0.1886925,2689.65,0.1935,0.2289625,25.30725
333.0685,1.0690263,8.41815,0.1306275,2626.65,0.38774,0.0202625,17.23575
334.8655,0.87278125,0.65025,0.0626025,1062.45,0.49126,0.1622375,19.34925
332.8675,1.1783538,10.39365,0.0509475,5392.95,0.42814,0.3815375,22.85925
326.8265,1.0658313,7.05375,0.1021425,5707.05,0.4175,0.4632375,1.09875
328.9365,0.85268875,15.57495,0.2001225,1103.25,0.54374,0.0663125,13.84275
329.1265,0.89357125,10.74645,0.2378625,833.25,0.57946,0.2988625,29.96025
339.6745,1.0360413,1.84455,0.1758075,1421.25,0.12302,0.0296375,4.42125
328.4885,1.2704913,7.66215,0.0741525,645.75,0.2803,0.2754375,9.87525
331.6575,1.0164663,0.91215,0.2572125,1976.55,0.67902,0.4915125,23.86275
341.2095,1.2129813,14.82165,0.1244475,807.15,0.09066,0.0705625,17.63325
337.8645,1.0835162,5.09715,0.2773575,2333.85,0.7103,0.1877875,26.40675
343.3245,0.99704875,15.61905,0.2615025,858.15,0.71802,0.4048125,23.19975
331.6735,0.98658625,2.59245,0.2226825,2502.45,0.0141,0.3224625,9.41325
333.1405,1.0827062,5.32665,0.0904575,2161.35,0.57366,0.0348625,27.51075
330.3955,1.2030363,3.49785,0.1454025,1862.25,0.25842,0.2058625,19.17975
328.3765,1.2992687,1.42515,0.2631825,1141.05,0.58598,0.1077875,3.85575
337.8565,1.1855762,8.42805,0.1478175,2174.85,0.57466,0.4681875,22.34625
344.4055,0.88236625,15.04305,0.1426425,2817.15,0.67014,0.1830375,20.49975
340.0925,0.94498375,16.50465,0.0226125,324.75,0.49246,0.1587625,27.79875
343.6405,1.1100212,16.08525,0.2657625,1081.35,0.51566,0.2438125,17.02125
341.3125,0.92705125,10.31625,0.1465725,5842.05,0.08274,0.3662125,6.77325
343.8165,1.0238463,14.73435,0.0290775,1336.35,0.07578,0.2129375,12.68175
336.3485,1.0865988,12.87675,0.2777625,1231.65,0.7801,0.4184125,28.87125
343.6855,1.0868237,15.76665,0.1620075,5397.75,0.43646,0.3984125,3.88275
325.1385,1.0589688,0.94365,0.1861725,646.35,0.74662,0.0513875,19.09425
341.2595,1.1774988,10.91385,0.2573325,4585.05,0.15382,0.3946375,15.08775
326.4915,1.2307113,4.54995,0.1500825,4908.45,0.2291,0.2820625,15.41775
329.8075,1.2874337,14.95935,0.1188225,4588.35,0.42474,0.2657125,23.52075
326.3995,1.0755063,13.45815,0.2094375,20.25,0.26458,0.3109125,22.70325
327.7805,1.2589938,4.94865,0.2074725,1178.25,0.57462,0.3968125,15.13875
341.0075,1.2145788,11.04705,0.0672525,4984.95,0.2441,0.3990875,11.67975
329.1425,0.86029375,4.16925,0.1844025,436.35,0.63822,0.2378875,27.38175
342.2045,1.0546712,9.08685,0.0761175,5530.05,0.45022,0.4306125,13.50225
337.9335,1.0927187,9.54045,0.0007275,3216.15,0.55406,0.0579875,24.32325
327.5495,1.0713438,0.18585,0.2901225,1099.65,0.36662,0.4736875,29.68725
325.3305,0.93904375,5.75235,0.2194575,5482.65,0.11678,0.4154875,23.11275
335.9485,1.1851038,11.47815,0.0236925,3927.45,0.73366,0.3426625,2.22525
337.9675,0.88067875,4.06305,0.2052525,3667.05,0.27778,0.4087625,28.54875
344.2225,1.2455612,0.41265,0.0266175,307.35,0.54702,0.1206375,8.62425
337.9895,1.0457162,5.01255,0.1927575,3340.65,0.28418,0.4845375,7.67175
339.2755,0.92288875,17.81505,0.1961625,5604.45,0.20846,0.0499375,26.87475
329.3215,1.0708038,16.39485,0.2392275,4878.75,0.59098,0.2639125,1.91175
334.0045,1.1738987,3.97665,0.2336625,2456.85,0.25062,0.0642875,24.15075
326.4365,0.87791125,5.30145,0.1558425,90.45,0.1543,0.0826875,22.65975
329.4975,1.1641563,13.19985,0.0555525,4249.95,0.39578,0.4535375,12.96675
335.8415,0.95281375,8.74485,0.1001925,5320.95,0.12798,0.0834125,2.75325
342.4015,0.90032125,6.54795,0.2784375,1689.75,0.77242,0.2672375,4.18575
326.6175,0.94750375,11.76615,0.1874325,2756.25,0.76162,0.2057875,0.89925
343.2485,0.97765375,6.69015,0.2385525,4737.45,0.08962,0.0027875,7.15725
328.8105,1.2430413,5.09445,0.0673575,5436.45,0.5601,0.0633625,7.89525
328.0135,1.2164462,15.42375,0.2664825,3834.45,0.36974,0.3147375,8.71425
332.6125,1.0120338,13.90815,0.0094575,2039.25,0.28894,0.0698375,5.72625
342.6385,0.96820375,13.94415,0.1261425,5902.65,0.69734,0.2881875,2.34675
331.8315,0.88382875,5.85405,0.1317225,1899.45,0.31826,0.4169625,0.30225
328.2365,1.0705338,0.05175,0.0416475,4652.55,0.4963,0.2428375,2.50425
331.2715,0.92306875,7.81695,0.0917925,3679.35,0.74282,0.1182375,19.77975
339.9735,1.2727638,0.29565,0.2601075,2026.95,0.54002,0.2347875,2.28825
326.9615,1.1533563,14.16735,0.2943975,3537.75,0.4751,0.1062375,18.40425
344.0555,0.96746125,9.69075,0.0332625,2092.65,0.43718,0.0514375,9.50925
334.8115,0.92014375,16.74585,0.1416675,4938.75,0.2449,0.3330875,1.56225
331.4395,1.2817188,2.57715,0.2483025,247.35,0.5569,0.0602125,2.08875
343.4315,0.94217125,9.56115,0.1819875,2099.85,0.38382,0.2746125,17.81475
340.1155,1.0888487,3.10365,0.1772325,523.65,0.32082,0.2037625,20.15325
339.1855,1.1476863,14.78115,0.2572275,1389.45,0.3985,0.3615375,29.87175
333.8745,1.2241863,8.11395,0.0914325,4124.55,0.04846,0.0695125,22.87275
327.9175,1.2617612,9.50355,0.1161975,4173.45,0.48078,0.3210375,15.07275
337.4065,1.2565413,14.54805,0.1361325,5199.75,0.62886,0.0765875,12.85575
337.3725,0.96140875,15.19695,0.1323975,2382.45,0.37878,0.1456875,8.39325
333.1045,1.0645263,15.35535,0.2057175,5222.85,0.14354,0.3457375,27.56925
344.8675,1.1258838,3.11085,0.0482325,301.35,0.78498,0.4364375,2.12475
334.5305,0.94550125,1.04265,0.2151675,5067.45,0.46966,0.2539875,16.03425
337.7635,0.95524375,10.78605,0.2294175,3333.75,0.02006,0.4278125,1.55475
342.7605,1.0427462,8.87625,0.0545475,1770.15,0.22902,0.2382875,17.92425
330.3515,1.1782413,10.97325,0.2186325,5400.45,0.2749,0.3444125,15.12975
340.9905,0.96534625,2.69505,0.1782375,4139.85,0.61274,0.4372875,19.64775
338.4115,1.1791187,5.14845,0.0978075,2198.25,0.3637,0.2603875,6.73875
341.4575,1.2601413,4.85955,0.0716025,5993.25,0.58854,0.1866875,28.39275
335.5655,0.96770875,8.71875,0.0751425,320.85,0.35698,0.2017125,3.99975
335.2325,1.0436687,17.78535,0.2483475,3523.65,0.3215,0.2325875,27.50325
331.9665,1.0715238,10.56915,0.1548075,4576.35,0.27106,0.0265625,5.26725
329.5185,0.93341875,16.51455,0.0392775,3004.65,0.67414,0.3024375,28.73925
330.1845,1.1194263,3.06135,0.1026975,3602.85,0.38726,0.1377375,26.92275
326.5545,1.1725262,10.99305,0.2865825,4108.05,0.63874,0.1830125,15.75225
326.2355,1.2323538,2.61765,0.0149925,623.55,0.3921,0.2486875,13.55175
338.8795,1.2850038,2.37375,0.1849425,5024.55,0.79218,0.0627125,3.60225
333.5265,1.1655062,10.59345,0.2308425,305.55,0.12366,0.4245125,26.75325
325.6845,0.90308875,6.44445,0.1111575,2885.25,0.67846,0.3208875,14.76225
327.3185,1.0697912,15.65505,0.1985925,5587.95,0.37026,0.4335625,24.49875
329.3885,1.2831588,6.00975,0.0924375,1757.25,0.19102,0.1651625,7.22475
329.8095,0.88958875,8.34885,0.0782475,1311.75,0.73494,0.1375625,23.27325
340.6475,0.90938875,16.55145,0.1179675,5188.35,0.21694,0.0323375,14.43075
344.4985,1.0404738,2.20545,0.0583425,1077.75,0.6957,0.0573375,20.76675
326.3855,1.1311038,14.37525,0.2892075,3988.35,0.75538,0.1282125,1.01925
327.8355,1.0089738,11.26935,0.1730475,488.55,0.27574,0.0677375,9.90825
336.4165,0.90061375,14.13045,0.0433875,2309.55,0.33466,0.3143625,2.74875
326.6945,0.88191625,4.59045,0.0273075,2003.25,0.45674,0.0594625,15.10425
340.7875,0.85383625,9.68715,0.1406925,1390.05,0.45914,0.4325875,18.86475
328.2155,0.89507875,10.10925,0.2528475,574.35,0.76526,0.3969125,26.90325
342.1295,0.94577125,2.85075,0.1432725,5960.25,0.4171,0.2751375,2.26575
327.4745,1.1383488,9.68985,0.2123325,3899.25,0.18818,0.3534875,28.54725
336.4455,1.0307762,14.74785,0.2375325,2410.95,0.14694,0.2266375,12.86925
333.6065,0.98303125,0.01395,0.0366975,4521.15,0.63066,0.4259625,4.68975
327.5165,1.1925737,15.94395,0.0269625,3745.95,0.2433,0.2638125,26.71575
334.7625,1.1009087,3.55725,0.2865675,1939.65,0.09214,0.4898625,5.60475
328.3665,1.0558188,16.78995,0.0555375,3606.15,0.52942,0.4836875,19.67925
340.8425,0.95587375,12.77325,0.0506475,3028.35,0.72298,0.4936875,8.88525
333.2985,1.1929338,14.47695,0.2286225,3388.05,0.50066,0.3846125,23.13375
336.4605,1.0294262,10.78065,0.1049625,3097.95,0.46802,0.0792125,7.45725
330.3585,1.0503738,16.49025,0.2204475,2288.25,0.76094,0.3229375,0.25875
333.3325,1.1460212,3.39615,0.1887825,2710.05,0.66698,0.0151375,18.27225
335.5475,1.2813588,0.62595,0.2397075,5037.45,0.57786,0.4106875,0.08625
338.6445,0.91580125,6.26535,0.1064175,1267.35,0.25202,0.2079125,26.66475
338.5135,0.95947375,5.45715,0.0661425,3337.95,0.42562,0.0768375,6.40875
334.1445,1.2000662,14.22405,0.2408025,2610.75,0.56306,0.4512875,29.62875
342.0195,1.1007288,16.08345,0.0210375,2361.45,0.43402,0.4826875,24.08325
327.9135,0.99162625,12.49695,0.0413925,4464.15,0.16698,0.4962625,6.38625
330.4665,1.2394638,3.23775,0.2806575,2409.75,0.20722,0.4546875,22.45575
339.9955,1.2717738,14.71725,0.2436975,4531.35,0.30226,0.0719875,17.73525
341.1715,0.92419375,9.38655,0.2197275,1670.85,0.18806,0.1730875,10.26525
336.3695,1.2310488,3.83625,0.0993975,3629.85,0.07614,0.3079125,9.01425
332.0225,1.2638763,13.07205,0.0485325,5117.55,0.03122,0.4002375,0.67725
338.0525,1.1394963,7.01235,0.0915675,4210.95,0.03714,0.2890375,20.65425
337.1835,1.2661488,16.06725,0.2845125,5958.15,0.70746,0.4252375,6.18825
327.4605,0.90495625,12.72375,0.1848975,1464.15,0.49222,0.3743625,16.63275
331.5665,0.99837625,1.46565,0.2264025,1440.15,0.48074,0.1856125,28.80825
333.6665,0.94307125,3.90105,0.1691625,319.95,0.40794,0.1269875,26.24625
331.0125,0.97506625,6.60465,0.0564825,5935.95,0.17946,0.1137375,16.19025
342.5405,1.0032138,8.63955,0.2942325,82.95,0.52478,0.2044125,10.63125
325.3015,0.97529125,13.04685,0.0694425,1536.75,0.40318,0.4130375,0.10725
342.7755,1.1678013,12.77685,0.2571525,578.55,0.61298,0.3109375,18.42675
341.8085,1.1011788,16.59825,0.1043625,5759.55,0.21466,0.1940375,17.63025
340.2375,0.93269875,11.70765,0.0352875,2218.95,0.05294,0.1697875,10.50525
342.3505,1.1122037,6.00435,0.1661625,4192.05,0.0291,0.4138625,16.66875
339.9265,0.92583625,14.75505,0.0019275,1907.25,0.52518,0.4780125,13.38825
336.4155,0.88954375,1.60605,0.2276325,4461.15,0.09254,0.4500875,20.04225
340.2945,0.98613625,16.23105,0.0726375,3259.35,0.42662,0.2899875,25.05675
334.6845,1.1040588,14.76315,0.0396675,3277.95,0.40706,0.4839875,22.74225
337.1215,0.85415125,5.00715,0.2330325,3880.35,0.65818,0.4449875,29.57625
338.4395,0.86144125,11.81475,0.0645225,34.65,0.77718,0.4487125,17.46675
342.3965,1.2220038,6.10065,0.2788725,585.75,0.74214,0.4895375,6.78675
344.0045,1.1941038,3.25305,0.1523925,2276.85,0.36146,0.1576375,23.05575
338.0635,1.0312263,12.94965,0.0030525,1216.05,0.60438,0.3633625,7.48725
325.3915,1.0282563,0.20385,0.2636325,4411.95,0.6105,0.2102125,14.25375
344.4875,1.0661913,4.33305,0.2725275,3742.95,0.5867,0.4681125,1.26825
331.3655,1.2274487,9.96435,0.0497625,1133.85,0.2237,0.0013375,20.91225
341.0645,1.2112263,9.81045,0.2025225,3331.05,0.5403,0.4451875,24.80475
333.7245,1.2954438,5.72625,0.0223425,3297.15,0.36078,0.0770125,24.68775
334.3215,1.1480463,8.23365,0.0382725,3901.65,0.77978,0.3914625,0.26775
328.3845,1.2929462,3.09555,0.0068775,4337.85,0.35394,0.3710875,0.54675
335.9165,0.93218125,12.87135,0.1363275,1656.45,0.73066,0.4406375,6.49875
337.6795,0.95612125,16.81605,0.0743325,5524.95,0.50142,0.0248125,28.51875
325.5785,0.95078875,2.62305,0.2607075,5111.85,0.11582,0.0590375,20.86725
340.4315,1.0018638,11.41875,0.2261325,270.75,0.47002,0.2319625,8.80425
343.7715,0.91665625,14.03505,0.2128275,1010.85,0.29778,0.0755875,24.62175
336.6725,1.1136663,17.51265,0.2420625,2074.35,0.03178,0.4725625,13.52775
330.6475,1.2330063,13.18095,0.2791425,1944.15,0.71534,0.3228375,12.66075
343.4495,1.0841013,1.45305,0.0204225,5472.15,0.6161,0.4590875,5.82525
337.8475,1.1963088,1.39725,0.0958875,2773.95,0.58314,0.3701875,11.39175
338.9075,1.0113588,11.19285,0.0306675,4288.65,0.30274,0.1084875,2.50125
333.2025,1.2454938,13.34655,0.2069775,380.55,0.28246,0.2237625,28.85625
334.1385,1.1624238,4.29885,0.1539825,4706.55,0.41802,0.4205625,9.06975
327.9055,1.2265713,17.01405,0.0215925,1288.95,0.47134,0.2398625,5.54475
344.7225,1.2374837,8.50095,0.2315925,5446.65,0.01754,0.0114875,7.17075
334.9875,1.0299888,7.81065,0.1612875,4723.05,0.14318,0.4914625,5.70525
341.2035,1.2442338,17.01045,0.0628725,433.95,0.58094,0.1857125,15.19725
328.0975,0.88016125,17.73675,0.1218225,4054.35,0.42418,0.2507625,1.62375
336.6815,0.90920875,5.72445,0.0254925,1844.25,0.59206,0.0043875,15.56325
329.1685,1.2629987,2.74725,0.0292575,906.45,0.53722,0.4102125,7.42575
332.2775,1.2778938,17.63865,0.0144825,2011.05,0.42002,0.2543625,26.94075
